tenure,monthly_charges,contract,internet,tech_support,churn
54,60.07,two-year,fiber,0,0
42,54.7,one-year,dsl,0,0
63,23.83,month-to-month,fiber,0,0
24,63.04,two-year,none,0,0
20,98.61,one-year,dsl,1,0
34,84.97,two-year,fiber,1,0
14,70.51,month-to-month,fiber,0,0
70,45.13,month-to-month,fiber,0,0
13,75.67,two-year,fiber,0,0
34,95.32,two-year,dsl,1,0
37,80.77,month-to-month,fiber,1,1
4,74.17,one-year,fiber,0,1
33,50.08,month-to-month,fiber,1,0
32,91.68,one-year,dsl,0,1
18,15.0,month-to-month,fiber,0,0
9,79.57,month-to-month,none,1,0
3,130.0,month-to-month,fiber,1,1
0,32.29,month-to-month,fiber,0,1
34,63.97,month-to-month,dsl,1,0
6,69.8,month-to-month,dsl,1,1
69,58.44,month-to-month,fiber,0,0
17,95.91,one-year,dsl,0,1
46,81.81,one-year,fiber,0,0
48,73.81,one-year,fiber,1,0
35,89.93,month-to-month,fiber,0,1
63,70.42,month-to-month,dsl,0,0
7,130.0,two-year,dsl,0,0
16,73.78,two-year,dsl,0,1
18,74.88,two-year,none,1,0
9,27.24,two-year,dsl,0,0
21,56.41,one-year,none,1,0
22,98.68,two-year,fiber,1,0
55,36.61,month-to-month,dsl,0,0
21,16.06,one-year,dsl,1,0
63,70.81,two-year,fiber,0,0
55,104.27,one-year,fiber,0,0
64,71.06,month-to-month,dsl,1,0
7,61.6,month-to-month,fiber,0,1
70,23.54,month-to-month,fiber,0,0
44,81.31,month-to-month,dsl,0,0
70,86.53,two-year,dsl,0,0
25,25.46,one-year,fiber,1,0
68,98.36,month-to-month,fiber,0,1
42,89.14,one-year,none,0,0
5,98.31,month-to-month,none,1,1
29,84.59,one-year,dsl,0,0
9,86.34,month-to-month,fiber,1,1
67,83.02,month-to-month,fiber,1,0
21,91.71,one-year,fiber,1,0
16,24.53,one-year,dsl,0,0
39,32.47,one-year,dsl,1,0
30,51.6,month-to-month,dsl,1,0
6,66.75,one-year,fiber,1,0
58,79.7,month-to-month,none,1,0
60,78.12,month-to-month,fiber,0,0
53,97.93,one-year,fiber,0,0
44,98.71,one-year,dsl,1,0
28,48.19,two-year,dsl,0,0
39,75.96,month-to-month,none,0,0
37,48.8,two-year,dsl,0,0
11,65.29,month-to-month,none,1,0
5,78.04,one-year,fiber,1,0
18,15.0,two-year,fiber,1,0
32,130.0,one-year,fiber,0,0
11,84.16,two-year,fiber,0,0
7,55.11,two-year,none,0,0
61,118.18,month-to-month,fiber,1,0
26,61.31,two-year,fiber,0,0
42,73.31,two-year,fiber,1,0
37,57.82,month-to-month,dsl,0,1
52,111.3,month-to-month,none,1,1
53,67.38,month-to-month,none,0,0
21,73.74,two-year,fiber,1,0
61,100.09,two-year,dsl,1,0
26,84.63,two-year,fiber,1,0
60,68.64,month-to-month,none,1,0
29,97.76,month-to-month,fiber,0,1
7,130.0,month-to-month,none,1,0
54,77.94,month-to-month,none,1,0
2,72.92,month-to-month,dsl,0,1
55,74.27,month-to-month,dsl,0,0
3,102.76,month-to-month,fiber,0,1
14,55.02,month-to-month,fiber,1,0
43,63.04,one-year,fiber,1,0
67,31.56,month-to-month,fiber,0,0
29,40.4,month-to-month,dsl,1,0
8,57.05,one-year,dsl,0,0
16,68.6,two-year,none,0,0
64,114.23,one-year,none,1,0
52,83.4,one-year,fiber,0,0
7,47.2,one-year,fiber,0,0
27,51.8,one-year,fiber,0,0
19,104.37,one-year,fiber,0,0
12,98.17,month-to-month,dsl,0,0
60,70.7,one-year,dsl,0,0
44,58.94,month-to-month,dsl,0,0
12,98.12,month-to-month,dsl,1,0
46,45.17,month-to-month,none,0,0
29,79.8,month-to-month,dsl,1,0
4,126.82,month-to-month,none,1,1
32,75.13,one-year,none,0,0
13,50.61,month-to-month,dsl,0,1
17,80.26,month-to-month,fiber,0,1
63,58.25,month-to-month,none,1,0
51,35.15,month-to-month,fiber,1,0
9,87.53,one-year,fiber,0,1
61,97.95,month-to-month,dsl,0,0
41,62.23,month-to-month,fiber,0,1
62,60.57,month-to-month,fiber,1,0
53,45.96,month-to-month,fiber,0,0
24,66.25,month-to-month,none,0,0
38,55.94,month-to-month,dsl,1,0
38,44.72,one-year,none,1,0
51,117.3,two-year,none,0,0
17,81.66,one-year,fiber,0,0
23,84.31,month-to-month,dsl,0,1
17,92.08,month-to-month,dsl,1,0
21,89.28,one-year,fiber,0,1
11,59.67,month-to-month,none,0,0
2,76.81,two-year,none,0,0
67,63.27,month-to-month,fiber,1,0
5,80.96,month-to-month,none,1,0
63,78.54,month-to-month,fiber,1,0
0,60.43,two-year,none,1,0
55,36.77,two-year,dsl,1,0
23,73.66,two-year,fiber,1,0
37,64.89,month-to-month,none,0,0
20,22.74,one-year,dsl,0,0
35,82.69,month-to-month,fiber,1,0
32,94.13,month-to-month,dsl,1,1
38,130.0,one-year,dsl,1,0
28,60.22,two-year,dsl,0,0
38,56.53,month-to-month,dsl,1,0
59,42.26,month-to-month,fiber,0,0
31,75.22,month-to-month,fiber,0,0
26,75.06,month-to-month,dsl,0,0
9,49.72,month-to-month,fiber,0,1
25,65.63,two-year,dsl,0,0
9,20.53,month-to-month,none,0,1
13,93.16,one-year,none,0,0
68,50.73,month-to-month,dsl,1,0
6,69.13,month-to-month,dsl,1,0
34,34.33,month-to-month,none,1,0
60,55.44,month-to-month,none,1,0
68,63.01,month-to-month,fiber,1,0
10,69.72,one-year,dsl,1,0
11,81.99,two-year,fiber,0,0
26,105.98,month-to-month,fiber,0,1
39,88.32,one-year,fiber,1,0
69,94.05,two-year,dsl,0,0
14,106.15,month-to-month,dsl,1,1
11,84.24,two-year,none,0,0
18,69.08,two-year,fiber,0,0
62,95.23,two-year,fiber,0,0
2,96.83,one-year,fiber,1,0
27,86.21,one-year,fiber,0,0
8,33.63,month-to-month,fiber,0,0
11,48.96,one-year,none,1,0
66,63.13,two-year,fiber,0,0
0,89.49,month-to-month,dsl,0,1
23,69.47,one-year,fiber,1,0
65,98.42,month-to-month,dsl,0,0
43,102.88,month-to-month,none,1,0
5,99.98,one-year,none,0,1
33,100.14,one-year,fiber,1,0
69,44.08,one-year,none,1,0
28,82.07,two-year,fiber,1,0
38,54.81,month-to-month,none,1,0
38,28.77,two-year,fiber,1,0
47,62.81,one-year,dsl,0,0
13,103.12,two-year,dsl,0,0
60,81.52,month-to-month,none,0,0
71,120.45,month-to-month,none,0,0
10,74.43,two-year,fiber,0,0
58,130.0,month-to-month,none,1,0
58,74.44,month-to-month,fiber,0,0
53,70.56,one-year,fiber,0,0
26,38.02,one-year,fiber,0,0
33,97.76,two-year,fiber,0,0
60,57.45,one-year,fiber,0,0
11,53.82,two-year,dsl,1,0
59,102.03,month-to-month,fiber,0,1
66,98.96,one-year,dsl,1,0
49,98.3,two-year,fiber,0,0
24,60.95,one-year,dsl,0,0
40,68.73,month-to-month,fiber,0,0
3,68.5,month-to-month,fiber,0,1
67,89.56,one-year,dsl,0,0
24,108.84,one-year,none,0,0
4,79.2,month-to-month,none,1,0
57,119.37,one-year,fiber,1,0
47,92.43,two-year,none,0,0
44,64.13,month-to-month,dsl,1,0
3,90.72,one-year,none,1,1
54,112.65,one-year,fiber,0,1
45,119.96,month-to-month,fiber,0,1
57,99.67,month-to-month,fiber,0,1
59,70.64,month-to-month,none,1,0
15,64.58,two-year,fiber,0,0
15,84.4,month-to-month,fiber,0,1
66,111.85,month-to-month,dsl,0,0
38,80.84,month-to-month,none,0,0
31,81.36,two-year,dsl,0,0
20,71.28,one-year,dsl,0,0
46,61.8,month-to-month,fiber,1,0
54,65.95,two-year,none,0,0
0,73.39,month-to-month,fiber,0,1
39,112.95,month-to-month,fiber,0,1
71,64.01,month-to-month,dsl,0,0
20,71.32,one-year,fiber,1,0
20,48.37,two-year,dsl,1,0
63,87.92,month-to-month,dsl,1,0
4,104.17,one-year,fiber,0,1
28,110.61,one-year,fiber,1,0
32,75.08,two-year,fiber,1,0
57,84.36,two-year,fiber,0,0
9,66.16,one-year,none,1,0
31,83.2,month-to-month,dsl,1,1
10,77.85,month-to-month,fiber,1,0
56,71.46,two-year,fiber,0,0
45,73.44,one-year,none,0,0
35,81.3,month-to-month,none,1,0
28,62.65,two-year,none,0,0
11,63.94,two-year,fiber,1,0
66,112.68,one-year,dsl,0,0
46,130.0,two-year,fiber,0,0
22,39.89,month-to-month,dsl,1,1
29,38.51,one-year,fiber,0,0
52,46.07,two-year,dsl,0,0
51,67.42,month-to-month,fiber,1,0
33,92.39,month-to-month,dsl,1,0
21,84.78,one-year,fiber,0,1
47,74.3,month-to-month,none,0,0
47,83.22,month-to-month,fiber,1,0
43,52.7,month-to-month,dsl,0,0
5,63.9,month-to-month,fiber,1,1
34,69.5,month-to-month,dsl,1,0
44,30.39,two-year,dsl,0,0
68,40.97,one-year,fiber,0,0
37,41.96,one-year,fiber,0,0
24,89.1,month-to-month,fiber,0,0
40,76.13,month-to-month,fiber,1,0
12,85.28,month-to-month,dsl,1,1
6,24.01,two-year,fiber,1,0
48,32.91,two-year,fiber,0,0
71,86.58,month-to-month,fiber,1,0
60,15.0,two-year,fiber,1,0
42,100.62,month-to-month,fiber,0,0
2,24.42,month-to-month,dsl,1,0
71,91.08,one-year,fiber,0,0
32,47.79,month-to-month,none,0,0
20,96.22,two-year,dsl,1,1
64,130.0,month-to-month,fiber,0,0
53,15.0,one-year,none,0,0
53,87.38,month-to-month,dsl,0,0
19,24.8,month-to-month,dsl,1,0
71,80.67,month-to-month,fiber,0,0
32,64.83,two-year,dsl,1,0
38,73.24,one-year,fiber,1,0
54,47.21,one-year,dsl,0,0
47,89.51,month-to-month,fiber,0,0
12,33.79,month-to-month,fiber,0,1
21,101.04,month-to-month,dsl,0,1
26,59.77,two-year,fiber,0,0
68,34.93,month-to-month,fiber,1,0
51,109.87,month-to-month,none,1,0
26,68.32,one-year,fiber,0,0
52,117.69,one-year,fiber,0,0
53,100.53,month-to-month,fiber,0,1
28,50.05,month-to-month,none,0,0
29,67.88,month-to-month,dsl,0,0
64,73.03,one-year,dsl,1,0
40,108.16,month-to-month,none,0,0
10,80.94,one-year,dsl,0,0
51,74.41,month-to-month,none,1,0
42,65.0,two-year,dsl,0,0
36,68.74,two-year,none,1,0
52,102.61,month-to-month,dsl,1,0
65,70.09,month-to-month,fiber,0,0
23,60.13,month-to-month,fiber,0,1
30,55.89,two-year,fiber,1,0
13,56.16,month-to-month,dsl,0,0
46,34.95,one-year,none,0,0
28,51.24,month-to-month,dsl,1,0
24,107.46,month-to-month,dsl,0,0
50,64.84,one-year,dsl,0,0
29,87.61,one-year,none,0,0
33,15.0,two-year,dsl,0,0
31,84.21,two-year,fiber,1,0
18,65.97,one-year,dsl,1,0
9,57.96,month-to-month,fiber,1,0
59,74.52,two-year,fiber,0,0
6,57.6,two-year,fiber,1,0
23,16.9,two-year,fiber,0,0
48,93.06,two-year,fiber,0,0
9,76.08,month-to-month,fiber,0,1
47,62.15,one-year,none,0,0
52,45.85,one-year,fiber,0,0
47,33.25,month-to-month,none,0,0
21,75.6,one-year,fiber,0,0
1,110.34,month-to-month,none,0,1
63,75.08,month-to-month,dsl,1,0
23,35.43,month-to-month,none,0,0
57,75.63,one-year,dsl,1,0
14,68.67,one-year,dsl,0,0
11,91.6,month-to-month,fiber,0,1
56,85.17,month-to-month,fiber,0,0
67,15.0,one-year,dsl,0,0
61,83.63,month-to-month,fiber,0,0
54,44.91,month-to-month,fiber,0,1
17,34.46,month-to-month,none,0,0
65,65.29,two-year,fiber,0,0
48,80.27,month-to-month,dsl,0,0
12,28.98,one-year,fiber,1,0
9,87.61,two-year,fiber,0,0
62,89.08,month-to-month,fiber,1,0
19,71.17,two-year,dsl,0,0
55,48.31,month-to-month,none,0,0
9,45.52,month-to-month,none,0,0
20,95.65,month-to-month,fiber,1,0
20,32.22,one-year,fiber,0,0
20,96.61,two-year,none,1,0
48,65.87,one-year,fiber,1,0
65,67.6,one-year,fiber,0,0
65,27.3,month-to-month,dsl,0,0
53,66.33,two-year,dsl,0,0
14,85.34,month-to-month,fiber,0,1
69,36.59,month-to-month,fiber,1,0
39,82.47,two-year,none,1,0
39,72.23,month-to-month,none,0,0
50,53.91,month-to-month,dsl,0,0
55,91.37,month-to-month,dsl,0,0
68,15.0,month-to-month,none,1,0
41,78.67,two-year,dsl,0,0
43,110.49,month-to-month,dsl,1,0
53,106.0,two-year,dsl,0,0
18,79.75,month-to-month,fiber,1,0
22,62.46,one-year,none,0,0
45,54.1,one-year,dsl,0,0
4,62.43,one-year,fiber,1,0
23,83.6,month-to-month,dsl,1,0
51,49.82,one-year,none,0,0
70,88.94,one-year,fiber,1,0
37,123.33,two-year,dsl,0,0
28,68.45,month-to-month,fiber,0,0
31,36.39,month-to-month,dsl,0,0
49,36.38,one-year,none,0,0
39,89.41,month-to-month,none,1,0
1,68.51,month-to-month,none,0,1
38,91.92,two-year,dsl,0,0
28,56.66,month-to-month,dsl,1,0
50,90.77,month-to-month,dsl,0,1
63,66.04,one-year,fiber,0,0
69,51.69,month-to-month,dsl,0,0
43,59.98,month-to-month,dsl,1,1
26,40.07,month-to-month,dsl,0,0
31,119.73,month-to-month,fiber,1,1
12,67.59,month-to-month,fiber,1,0
67,86.11,two-year,fiber,1,0
61,56.58,month-to-month,fiber,1,0
61,43.7,month-to-month,fiber,0,0
23,64.15,one-year,fiber,1,0
23,97.53,month-to-month,none,0,1
61,56.98,month-to-month,fiber,0,0
39,48.24,month-to-month,none,0,0
50,73.89,month-to-month,fiber,1,0
35,82.48,month-to-month,none,0,0
31,111.07,month-to-month,dsl,1,1
45,78.84,two-year,none,1,0
58,86.1,two-year,none,0,0
24,87.98,two-year,dsl,0,0
58,41.17,month-to-month,fiber,0,1
17,45.92,one-year,dsl,0,0
29,42.9,one-year,fiber,1,0
65,36.7,month-to-month,none,0,0
68,89.89,two-year,none,0,0
66,77.25,one-year,fiber,0,0
22,71.99,month-to-month,dsl,0,1
60,15.0,two-year,fiber,0,0
67,121.39,month-to-month,dsl,0,0
70,47.64,month-to-month,dsl,1,0
1,121.3,month-to-month,dsl,0,1
53,33.77,month-to-month,none,0,0
71,49.69,two-year,fiber,0,0
55,15.0,one-year,dsl,1,0
16,79.05,month-to-month,dsl,1,0
54,42.47,one-year,fiber,0,0
7,43.17,two-year,fiber,0,0
34,35.69,two-year,fiber,1,0
45,89.43,two-year,dsl,1,0
32,87.79,two-year,none,1,0
50,115.3,one-year,fiber,1,0
17,52.86,month-to-month,fiber,0,1
43,75.47,two-year,dsl,0,0
46,37.77,month-to-month,fiber,1,0
45,61.62,month-to-month,fiber,0,0
20,57.03,month-to-month,dsl,0,1
21,81.61,month-to-month,fiber,1,0
18,95.43,one-year,none,1,0
33,94.78,two-year,fiber,0,0
42,48.93,month-to-month,dsl,1,1
26,94.96,one-year,fiber,0,0
29,68.9,month-to-month,fiber,1,1
20,61.89,one-year,dsl,1,0
15,52.29,month-to-month,dsl,1,0
47,56.0,month-to-month,none,1,0
58,113.56,one-year,fiber,1,0
20,77.69,month-to-month,dsl,1,0
61,74.37,month-to-month,dsl,0,0
41,63.44,month-to-month,fiber,0,1
12,130.0,month-to-month,none,0,1
26,102.63,one-year,fiber,0,0
0,51.97,month-to-month,none,1,0
2,63.16,month-to-month,dsl,0,0
24,64.64,two-year,fiber,1,0
32,73.65,one-year,dsl,0,0
57,52.47,month-to-month,fiber,0,0
9,80.97,one-year,dsl,0,1
60,106.3,month-to-month,none,0,1
16,37.16,month-to-month,dsl,0,0
9,41.8,one-year,fiber,0,0
50,57.92,month-to-month,fiber,0,0
55,59.08,month-to-month,dsl,1,1
43,119.96,two-year,dsl,0,0
8,95.04,one-year,dsl,1,1
8,93.61,two-year,fiber,1,0
28,63.39,two-year,dsl,0,0
32,62.84,month-to-month,dsl,0,0
71,33.71,one-year,dsl,1,0
20,89.54,month-to-month,fiber,1,1
13,82.28,one-year,dsl,0,0
68,102.15,month-to-month,fiber,1,1
11,64.73,month-to-month,none,0,0
1,66.46,month-to-month,none,0,1
30,74.25,one-year,none,0,0
28,92.3,month-to-month,fiber,1,1
44,33.24,one-year,dsl,0,0
63,88.4,two-year,none,0,0
67,69.49,one-year,fiber,0,0
20,43.53,month-to-month,fiber,0,0
70,17.88,month-to-month,fiber,0,0
45,66.59,two-year,dsl,0,0
5,106.19,one-year,fiber,1,1
67,111.87,month-to-month,fiber,1,0
9,78.88,two-year,dsl,0,0
42,119.05,month-to-month,dsl,0,1
56,68.93,month-to-month,none,0,0
17,93.83,month-to-month,dsl,1,0
19,58.72,month-to-month,none,0,0
34,57.14,month-to-month,dsl,1,0
63,53.06,one-year,none,0,0
16,18.49,month-to-month,fiber,0,0
47,102.18,one-year,none,0,0
32,53.96,two-year,none,1,0
8,49.96,two-year,dsl,0,0
51,40.5,month-to-month,fiber,0,0
59,64.89,one-year,fiber,0,0
41,114.09,month-to-month,fiber,1,1
12,122.34,one-year,fiber,0,1
11,28.48,month-to-month,fiber,1,0
30,61.14,one-year,fiber,1,0
36,44.14,month-to-month,fiber,0,0
39,94.71,one-year,none,0,0
17,77.16,month-to-month,dsl,0,1
36,54.09,month-to-month,none,1,0
21,71.81,one-year,fiber,1,0
49,58.06,month-to-month,fiber,1,0
57,110.36,one-year,fiber,0,0
46,83.67,one-year,none,1,0
0,86.75,one-year,fiber,0,1
71,15.0,one-year,dsl,1,0
1,68.33,one-year,fiber,0,0
71,122.08,two-year,fiber,0,0
2,103.15,month-to-month,fiber,1,1
37,23.82,one-year,dsl,0,0
7,62.16,one-year,fiber,1,1
6,39.96,month-to-month,none,0,0
49,112.78,month-to-month,fiber,1,0
52,76.11,month-to-month,fiber,0,0
8,50.81,one-year,fiber,0,0
70,70.85,month-to-month,none,0,0
23,15.0,one-year,dsl,1,0
22,42.88,one-year,dsl,1,0
21,70.91,one-year,dsl,0,0
33,91.14,month-to-month,none,0,0
12,21.47,one-year,fiber,0,0
30,60.47,one-year,dsl,1,0
15,95.24,month-to-month,none,1,1
3,33.71,month-to-month,fiber,1,0
26,75.73,month-to-month,fiber,0,1
48,71.65,two-year,dsl,0,0
54,112.86,month-to-month,fiber,0,0
25,64.25,month-to-month,fiber,1,0
23,65.71,month-to-month,fiber,0,1
56,91.37,month-to-month,fiber,0,0
49,36.84,month-to-month,dsl,1,0
59,64.48,one-year,dsl,0,0
65,58.61,month-to-month,dsl,0,0
59,66.53,two-year,dsl,0,0
67,91.21,month-to-month,fiber,1,0
29,83.85,month-to-month,dsl,1,1
28,51.28,one-year,none,0,0
23,73.42,one-year,fiber,0,0
16,107.26,two-year,dsl,0,1
53,49.22,month-to-month,none,1,0
51,73.63,month-to-month,dsl,0,0
57,65.17,one-year,fiber,0,0
12,68.42,month-to-month,fiber,0,1
35,29.23,two-year,dsl,1,0
15,105.27,month-to-month,dsl,0,1
64,50.64,month-to-month,dsl,0,0
19,95.65,one-year,dsl,0,0
10,54.47,one-year,fiber,1,0
41,54.36,two-year,dsl,1,0
63,100.33,two-year,dsl,1,0
65,94.85,month-to-month,none,0,0
6,75.22,one-year,dsl,0,0
23,89.03,two-year,fiber,0,0
11,62.79,month-to-month,dsl,1,0
22,69.79,month-to-month,dsl,1,0
38,53.46,two-year,fiber,0,0
20,92.6,month-to-month,dsl,0,1
4,52.66,two-year,fiber,0,0
36,107.13,month-to-month,fiber,1,1
3,62.1,two-year,dsl,0,0
16,70.51,one-year,fiber,0,0
0,88.97,one-year,dsl,0,1
6,70.6,one-year,dsl,0,0
31,62.55,month-to-month,none,0,0
61,69.25,one-year,dsl,1,0
55,92.35,two-year,dsl,1,0
7,53.43,two-year,fiber,0,0
2,66.84,two-year,none,0,0
24,70.26,one-year,fiber,1,0
46,91.61,one-year,dsl,1,0
53,67.5,one-year,dsl,1,0
59,115.21,one-year,fiber,1,0
24,66.09,one-year,dsl,1,0
12,64.06,month-to-month,dsl,1,0
1,65.72,month-to-month,fiber,0,1
10,37.08,one-year,fiber,0,0
4,44.08,month-to-month,fiber,0,0
61,56.73,month-to-month,none,1,0
19,98.4,month-to-month,dsl,1,0
59,69.17,two-year,fiber,1,0
39,57.88,two-year,dsl,0,0
38,100.66,one-year,dsl,0,0
32,108.78,two-year,dsl,1,0
58,101.38,two-year,dsl,1,0
3,48.67,month-to-month,fiber,1,0
6,57.62,month-to-month,fiber,0,1
30,115.34,month-to-month,dsl,1,1
28,76.03,month-to-month,dsl,1,0
39,63.31,one-year,dsl,1,0
53,87.96,month-to-month,fiber,1,0
42,95.18,two-year,none,1,0
18,55.71,one-year,fiber,0,0
23,75.49,month-to-month,dsl,0,1
54,93.16,two-year,fiber,0,0
14,40.99,two-year,dsl,0,0
36,70.31,one-year,none,1,0
38,42.14,one-year,fiber,1,0
54,45.41,two-year,dsl,0,0
51,55.92,one-year,dsl,1,0
33,81.93,two-year,fiber,0,0
22,61.95,month-to-month,fiber,0,1
26,53.79,one-year,dsl,1,0
29,71.29,month-to-month,fiber,0,0
15,41.33,month-to-month,fiber,1,1
45,80.72,month-to-month,none,1,0
15,98.28,month-to-month,dsl,0,1
46,68.02,month-to-month,dsl,0,0
54,64.93,month-to-month,dsl,0,0
69,79.34,month-to-month,dsl,1,0
8,19.29,two-year,dsl,0,0
54,83.42,one-year,fiber,1,0
6,130.0,one-year,fiber,1,1
24,66.93,month-to-month,dsl,0,1
12,67.02,two-year,none,0,0
11,88.59,month-to-month,fiber,0,1
12,111.13,month-to-month,none,0,1
3,94.37,month-to-month,dsl,0,1
59,16.11,two-year,dsl,1,0
4,84.08,two-year,fiber,1,0
28,130.0,one-year,fiber,0,1
50,85.56,one-year,dsl,0,0
71,41.13,month-to-month,fiber,0,0
61,77.05,one-year,fiber,1,0
9,37.98,month-to-month,fiber,1,1
71,100.82,month-to-month,none,1,0
47,46.1,two-year,fiber,0,0
12,71.86,two-year,dsl,1,0
32,48.56,month-to-month,fiber,1,0
66,56.34,month-to-month,fiber,0,0
28,107.15,month-to-month,fiber,0,1
13,72.59,month-to-month,dsl,0,0
63,56.02,month-to-month,dsl,1,0
68,41.37,one-year,fiber,0,0
70,23.21,month-to-month,none,0,0
68,38.72,month-to-month,fiber,0,0
62,72.8,month-to-month,none,0,0
32,94.51,one-year,fiber,1,0
13,55.99,month-to-month,none,0,1
44,109.26,month-to-month,none,0,0
15,52.06,one-year,none,1,0
34,64.05,one-year,fiber,1,0
47,43.01,month-to-month,dsl,0,0
68,94.77,one-year,none,0,0
20,122.44,month-to-month,dsl,0,0
18,25.95,one-year,fiber,0,0
52,61.35,month-to-month,dsl,1,0
0,101.62,two-year,fiber,1,0
40,33.83,two-year,dsl,0,0
53,84.17,one-year,fiber,0,0
39,100.54,two-year,dsl,0,0
27,71.96,month-to-month,fiber,1,0
59,83.76,one-year,fiber,0,0
26,114.02,month-to-month,fiber,0,1
51,118.71,month-to-month,none,0,1
33,68.45,month-to-month,dsl,1,0
1,56.69,one-year,dsl,1,0
38,47.0,one-year,dsl,0,0
3,94.42,two-year,dsl,1,0
67,35.71,one-year,fiber,1,0
43,63.69,two-year,dsl,0,0
26,72.57,two-year,fiber,1,0
35,57.42,two-year,dsl,1,0
44,77.0,month-to-month,fiber,0,0
18,130.0,month-to-month,none,1,0
20,66.96,one-year,dsl,0,0
30,59.11,two-year,fiber,0,0
18,95.38,month-to-month,dsl,0,1
54,75.99,month-to-month,fiber,1,0
7,105.98,month-to-month,fiber,1,1
59,74.12,month-to-month,none,0,0
25,63.79,two-year,dsl,0,0
40,25.41,month-to-month,dsl,0,0
11,29.51,month-to-month,dsl,1,0
27,24.11,one-year,fiber,0,0
54,79.48,month-to-month,fiber,1,0
19,35.94,month-to-month,dsl,0,0
9,101.39,one-year,dsl,0,0
37,70.76,month-to-month,fiber,0,0
11,63.9,two-year,fiber,0,0
22,48.9,one-year,fiber,0,0
32,85.56,two-year,fiber,1,0
40,49.89,month-to-month,fiber,0,0
46,45.37,one-year,fiber,0,0
48,99.71,one-year,dsl,1,0
60,78.87,one-year,fiber,0,0
4,64.13,month-to-month,fiber,1,1
26,86.04,month-to-month,dsl,1,0
0,70.22,month-to-month,none,1,1
0,79.58,two-year,fiber,0,0
15,49.58,two-year,fiber,0,0
43,121.76,month-to-month,dsl,0,1
64,55.51,one-year,fiber,0,0
55,108.9,one-year,fiber,0,1
46,65.28,one-year,dsl,0,1
56,90.18,month-to-month,fiber,0,1
12,88.36,two-year,none,1,0
60,98.67,one-year,none,1,0
64,48.98,one-year,fiber,0,0
6,96.89,one-year,fiber,1,0
33,116.16,one-year,none,1,0
59,63.53,month-to-month,dsl,0,0
34,70.87,two-year,none,1,0
60,56.91,month-to-month,dsl,1,0
67,61.34,two-year,fiber,1,0
34,112.79,two-year,fiber,1,0
4,44.89,one-year,fiber,0,0
24,46.45,one-year,none,0,0
15,110.27,month-to-month,fiber,1,0
34,85.61,month-to-month,dsl,0,0
42,123.01,one-year,dsl,0,0
33,58.74,month-to-month,none,1,0
14,73.16,month-to-month,dsl,1,0
21,53.48,two-year,fiber,1,0
48,73.58,month-to-month,fiber,0,0
1,25.65,month-to-month,dsl,0,0
15,87.12,month-to-month,none,0,1
64,78.09,one-year,dsl,1,0
7,68.56,month-to-month,dsl,0,1
29,60.24,one-year,none,1,0
14,47.63,month-to-month,fiber,1,0
7,88.19,month-to-month,fiber,0,1
30,40.72,month-to-month,none,1,0
37,82.8,month-to-month,dsl,0,1
12,121.86,two-year,none,0,1
5,107.14,month-to-month,fiber,0,1
9,32.37,month-to-month,dsl,0,0
46,56.58,month-to-month,fiber,1,0
61,80.54,month-to-month,fiber,0,0
12,68.24,month-to-month,fiber,1,1
23,35.01,month-to-month,dsl,0,1
24,79.63,two-year,fiber,0,0
25,69.75,month-to-month,fiber,1,1
17,117.86,one-year,fiber,1,1
3,63.67,one-year,fiber,1,0
37,99.2,month-to-month,dsl,1,0
25,38.32,one-year,dsl,0,0
24,44.3,two-year,dsl,0,0
19,88.04,one-year,fiber,0,0
66,97.09,two-year,dsl,1,0
43,46.07,one-year,fiber,0,0
30,70.6,month-to-month,dsl,0,1
14,35.46,two-year,none,0,0
57,65.47,month-to-month,dsl,0,0
63,90.92,one-year,none,1,0
2,59.13,one-year,fiber,0,0
66,63.77,two-year,dsl,1,0
50,41.76,two-year,dsl,0,0
7,53.79,month-to-month,dsl,1,0
54,113.95,one-year,dsl,0,0
7,71.82,month-to-month,fiber,0,1
3,44.94,one-year,dsl,0,0
8,62.13,one-year,dsl,0,0
33,30.06,month-to-month,dsl,1,0
44,44.65,two-year,fiber,1,0
29,104.01,month-to-month,fiber,0,1
8,66.44,month-to-month,none,0,0
14,117.27,two-year,fiber,0,1
61,67.62,one-year,fiber,1,0
69,69.1,one-year,fiber,0,0
54,86.02,month-to-month,dsl,0,0
7,15.0,month-to-month,dsl,0,1
59,75.12,month-to-month,none,1,0
49,68.78,month-to-month,dsl,0,0
37,107.15,month-to-month,fiber,1,1
10,94.12,month-to-month,fiber,1,1
71,41.66,one-year,fiber,0,0
31,101.05,month-to-month,dsl,0,0
3,63.44,one-year,none,0,0
15,47.39,two-year,fiber,1,0
28,74.93,month-to-month,fiber,0,1
4,64.93,one-year,dsl,0,0
23,108.46,month-to-month,dsl,0,0
33,78.52,month-to-month,dsl,1,0
68,75.14,one-year,dsl,1,0
6,92.52,month-to-month,fiber,0,1
41,97.32,month-to-month,dsl,1,0
65,89.59,two-year,fiber,0,0
58,105.49,month-to-month,dsl,0,0
66,85.22,one-year,fiber,0,0
12,74.19,one-year,dsl,1,0
57,100.98,month-to-month,none,1,0
70,67.73,one-year,dsl,0,0
23,70.83,month-to-month,fiber,0,0
35,113.04,month-to-month,none,0,1
38,110.55,two-year,fiber,0,0
35,69.8,month-to-month,dsl,0,0
